timestamp,tx_rx,gain,frequency,snr_db,noise_floor_dbm,freq_offset_hz,doppler_hz,jitter_ns,ber,snr_bin,channelnoise_bin,freq_offset_bin,doppler_bin,jitter_bin,ber_bin,packet_success,message,payload_len,payload_len_crc,payload_crc,raw_payload_bytes,whitened_payload_bytes,raw_packet_bytes
2026-05-01T18:31:13.953423,RX,35,915000000.0,11.258066892623901,-32.03986429043391,0.0,0.0,4728.570452179198,1.0,marginal,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x0 expected 0x4517,21,6b,00 00,ff c1 fb e8 54 28 72 8b e5 5c 8c 71 63 99 83 23 1e 44 18 72 aa,00 00 00 00 18 b8 00 00 02 ef dd f8 00 32 a0 00 1c c0 00 00 00,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 18 b8 00 00 02 ef dd f8 00 32 a0 00 1c c0 00 00 00
2026-05-01T18:31:14.862723,RX,35,915000000.0,43.515191078186035,-64.39999221047132,0.0,0.0,5780.9938167292075,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x2a1c expected 0x7f5d,21,6b,2a 1c,ff c1 fb e8 11 68 4b 47 bb e6 60 d9 63 ab 23 23 02 87 74 b7 ec,00 00 00 00 5d f8 39 cc 5c 55 31 50 00 00 00 00 00 03 6c c5 46,02 b8 db 00 20 03 78 1d a8 dd 72 00 00 00 00 5d f8 39 cc 5c 55 31 50 00 00 00 00 00 03 6c c5 46
2026-05-01T18:31:14.996851,RX,35,915000000.0,39.143033027648926,-61.01978897968123,0.0,0.0,3904.984492856805,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x0 expected 0xd8d8,21,6b,00 00,ff c1 fb e8 4c 90 72 8b e7 b3 51 89 63 ab 23 23 02 84 18 72 aa,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-05-01T18:31:15.981818,RX,35,915000000.0,43.005104064941406,-63.44063561834079,0.0,0.0,5767.414282341598,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x0 expected 0xd8d8,21,6b,00 00,ff c1 fb e8 4c 90 72 8b e7 b3 51 89 63 ab 23 23 02 84 18 72 aa,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-05-01T18:31:17.775484,RX,35,915000000.0,36.4404034614563,-57.69696198214927,0.0,0.0,4815.64264148385,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x6400 expected 0xe399,21,6b,64 00,ff c1 fe aa 2e 30 72 bd a1 99 51 89 63 ab 23 23 02 84 18 72 a9,00 00 05 42 62 a0 00 36 46 2a 00 00 00 00 00 00 00 00 00 00 03,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 05 42 62 a0 00 36 46 2a 00 00 00 00 00 00 00 00 00 00 03
2026-05-01T18:31:17.918517,RX,35,915000000.0,31.545732021331787,-52.8531581901271,0.0,0.0,5944.962360557105,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0xbb95 expected 0x5da,21,6b,bb 95,ff aa 42 62 db e8 72 d6 0c 0e 46 f3 10 ab 23 23 66 e9 6f c9 5c,00 6b b9 8a 97 78 00 5d eb bd 17 7a 73 00 00 00 64 6d 77 bb f6,02 b8 db 00 00 03 78 3d a8 5d 70 00 6b b9 8a 97 78 00 5d eb bd 17 7a 73 00 00 00 64 6d 77 bb f6
2026-05-01T18:31:18.692122,RX,35,915000000.0,37.70124673843384,-58.94747879730754,0.0,0.0,5869.863043102657,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0xf146 expected 0xe61f,21,6b,f1 46,ff f8 7b e8 89 5f bf fc 07 b2 7f 62 dc e5 48 9c ce d1 c7 2f 5e,00 39 80 00 c5 cf cd 77 e0 01 2e eb bf 4e 6b bf cc 55 df 5d f4,02 b8 db 00 00 03 78 3d a8 5d 70 00 39 80 00 c5 cf cd 77 e0 01 2e eb bf 4e 6b bf cc 55 df 5d f4
2026-05-01T18:31:18.830692,RX,35,915000000.0,38.068578243255615,-59.35492888361633,0.0,0.0,7060.634398566771,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x0 expected 0xd8d8,21,6b,00 00,ff c1 fb e8 4c 90 72 8b e7 b3 51 89 63 ab 23 23 02 84 18 72 aa,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-05-01T18:31:19.701245,RX,35,915000000.0,36.296212673187256,-57.45891326253454,0.0,0.0,5180.693480097521,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x1c00 expected 0xea73,21,6b,1c 00,ff c1 fb e8 4c 90 72 2b 7f 08 ff 7e 1d 92 a3 21 5f 69 6f eb be,00 00 00 00 00 00 00 a0 98 bb ae f7 7e 39 80 02 5d ed 77 99 14,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 00 00 00 a0 98 bb ae f7 7e 39 80 02 5d ed 77 99 14
2026-05-01T18:31:20.729708,RX,35,915000000.0,35.430264472961426,-56.643264015728846,0.0,0.0,5767.739106470256,1.0,good,high,low,negligible,low,poor,failure,Payload CRC Failed: got 0x0 expected 0xd8d8,21,6b,00 00,ff c1 fb e8 4c 90 72 8b e7 b3 51 89 63 ab 23 23 02 84 18 72 aa,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
