timestamp,snr_db,noise_floor_dbm,freq_offset_hz,doppler_hz,jitter_ns,ber,packet_success,SNR,ChannelNoise,FreqOffset,Doppler,Jitter,BER,PacketSuccess
2026-03-02T17:34:13.469242,81.03862762451172,-95.80030572652322,6250.00212029927,0.0010897461224885774,5758.760473977628,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:14.519536,81.03958129882812,-95.80125603077929,-6250.001343123549,-12500.002373688587,5832.4830566643,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:15.569557,81.03909492492676,-95.80076540968241,6250.003800488274,0.0027699711372406455,6012.461163409674,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:16.619631,81.0399055480957,-95.80157568054494,6250.000983884916,-3.4437107387930155e-08,6084.292423640011,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:17.672461,81.04009628295898,-95.80176819805791,6250.003800497319,0.00281659677875723,6207.884687981161,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:18.630820,81.04225158691406,-95.80392811308586,6250.00375380453,0.002769939153949963,6256.583817532997,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:19.625115,81.04401588439941,-95.80569248985967,-6250.0021107232515,-12500.00304796196,6317.462638181985,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:20.636831,81.03991508483887,-95.80158508236481,-6250.001343095168,-12500.002326981135,6321.200875902037,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:21.629878,81.03986740112305,-95.8015434458885,6250.002073673843,0.0010897631536863628,6367.269971300825,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:22.626195,81.0452651977539,-95.80693802121195,-6250.001389778843,-12500.002327005206,6391.687150845377,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:23.627639,81.03799819946289,-95.79967424506222,-6250.001389783355,-12500.002373644536,6430.632840879145,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:24.628652,81.04009628295898,-95.80177401848772,6250.002026946481,0.0010897178963205079,6458.903374646105,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:25.629379,81.04001998901367,-95.80169611491988,6250.003753805167,0.002816589724716323,6521.680118829018,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:26.625026,81.03945732116699,-95.80113023669257,-6250.001343121782,-12500.00228033612,6467.42510377414,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:27.623882,81.0401725769043,-95.80184744611833,6250.000937191998,-6.449590728152543e-08,6449.470159621281,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:28.625797,81.03965759277344,-95.80132944965254,6250.000983909149,7.552444003522396e-09,6467.5393302523335,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:29.628185,81.04305267333984,-95.80472463730716,6250.0020736381975,0.001089768928977719,6460.075394604112,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:30.623025,81.038818359375,-95.80048878828045,-6250.00215728562,-12500.003141181183,6427.5488259989015,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:31.626783,81.04473114013672,-95.80640104089854,-6250.002110701372,-12500.00309458176,6398.904822323353,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:32.622794,81.04016304016113,-95.80183938692748,-6250.002110698353,-12500.00309459586,6379.468506931981,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:33.627690,81.04524612426758,-95.80692009091466,6250.002073603831,0.0010897098709392594,6309.617579632249,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:34.628775,81.0392951965332,-95.8009646059079,6250.001030575618,5.021411197958514e-08,6260.516348837017,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-03-02T17:34:35.630316,81.04452133178711,-95.80619532062329,-6250.001343171534,-12500.00232708989,6201.858458593427,0.0,success,good,moderate,high,severe,high,excellent,success
2026-03-02T17:34:36.629487,81.03938102722168,-95.80105279232319,6250.003800468548,0.0028166084548502113,6121.185841816013,0.0,success,good,moderate,high,negligible,high,excellent,success
