timestamp,direction,payload_len,payload_len_crc,payload_crc,raw_payload_bytes,whitened_payload_bytes,packet_bytes,message
2026-02-25T16:35:07.981608,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:35:12.989943,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:35:17.988098,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:35:22.985563,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:35:32.992211,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:35:47.982500,RX,0,40,,,,,Length CRC Failed: got 0x40 expected 0x1c
2026-02-25T16:36:23.014012,RX,44,c4,e8 c4,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3f 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 b0 00 01 01 ee 8b,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 94 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 ca 0c 18 53 2c fd 45 53 9a e7 f0 b3 3b,Success
2026-02-25T16:36:28.017275,RX,44,c4,c0 80,fd 20 00 00 00 ff 01 4c 00 00 00 00 80 3b 00 00 80 40 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 10 00 00 01 b0 8a 01 11 7f 83,02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 90 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 c8 0c 18 43 2c fd 44 53 10 e7 e0 22 33,02 b8 db 00 2c 00 2c 00 2c c4 02 e1 fb e8 4c 6f 73 c7 e7 b3 51 89 e3 90 23 23 82 c4 18 72 aa 61 2f 3b 51 a8 e5 37 49 fb c9 c8 0c 18 43 2c fd 44 53 10 e7 e0 22 33,Payload CRC Failed: got 0xc080 expected 0x4f82
