timestamp,snr_db,noise_floor_dbm,freq_offset_hz,doppler_hz,jitter_ns,ber,packet_success,SNR,ChannelNoise,FreqOffset,Doppler,Jitter,BER,PacketSuccess
2026-02-25T16:35:07.981077,66.68169498443604,-87.17997111506622,-8959.960937499998,0.0,5746.214037819654,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:35:12.984259,66.48997783660889,-86.87303156016651,-8959.960937499998,0.0,5770.880801847758,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:35:17.987191,66.56328201293945,-86.97647906607331,-8959.960937499998,0.0,5745.637836977768,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:35:22.984754,67.18359470367432,-87.197404885019,-8959.960937499998,0.0,5756.067915946632,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:35:32.991829,58.756303787231445,-89.46202248874398,-8959.960937499998,0.0,5774.3162868061045,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:35:47.982175,53.067359924316406,-87.84315102266316,-8984.374999999998,0.0,5772.3162022447705,0.0006903735400026756,failure,good,moderate,high,negligible,high,acceptable,failure
2026-02-25T16:36:23.013481,56.70215129852295,-90.44705227789322,-8984.374999999998,0.0,5746.442051260665,0.00058373365143638,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:36:28.016905,57.800230979919434,-90.53980536295086,-8984.374999999998,0.0,5763.156884751462,0.0010891113072000191,failure,good,moderate,high,negligible,high,acceptable,failure
