timestamp,snr_db,noise_floor_dbm,freq_offset_hz,doppler_hz,jitter_ns,ber,packet_success,SNR,ChannelNoise,FreqOffset,Doppler,Jitter,BER,PacketSuccess
2026-02-25T16:42:49.633820,65.1146650314331,-88.6105314436247,-9008.789062499998,0.0,5795.12111121283,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:42:54.636628,64.27419185638428,-87.2083077315755,-9008.789062499998,0.0,5766.103098635689,0.0,success,good,moderate,high,negligible,high,excellent,success
2026-02-25T16:43:04.627839,65.63987731933594,-88.31633808788317,-8984.374999999998,0.0,5762.431203368057,0.0015346738640713564,failure,good,moderate,high,negligible,high,acceptable,failure
2026-02-25T16:43:14.646160,64.38350677490234,-87.98357431106652,-8984.374999999998,0.0,5744.010610233372,0.0010891113072000191,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:43:19.634843,56.4235258102417,-88.02499580828962,-8984.374999999998,0.0,5756.279214758928,0.00193307474426474,failure,good,moderate,high,negligible,high,acceptable,failure
2026-02-25T16:43:24.652767,54.40430164337158,-87.6580460353635,-8984.374999999998,0.0,5757.628311483402,0.0015346738640713564,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:43:29.652270,51.70517921447754,-88.78356853604222,-8984.374999999998,0.0,5766.25190922086,0.002117511674729289,failure,good,moderate,high,negligible,high,acceptable,failure
2026-02-25T16:43:54.662050,66.85631275177002,-86.67602800140502,-8984.374999999998,0.0,5755.207819664124,0.0017787329535741137,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:43:59.665702,66.43191814422607,-86.02305212404534,-8984.374999999998,0.0,5755.05133422659,0.0015346738640713564,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:44:04.671728,66.2085485458374,-85.78060395107877,-8984.374999999998,0.0,5747.587732190126,0.0013501292086811612,success,good,moderate,high,negligible,high,acceptable,success
2026-02-25T16:44:14.674900,66.42731189727783,-86.2536574353474,-8984.374999999998,0.0,5730.451280145608,0.0012055368888910234,success,good,moderate,high,negligible,high,acceptable,success
